,names,prices,ratings,descriptions
60,"SAMSUNG Galaxy S25 5G (Icyblue, 256 GB)","₹80,999",4.4,12 GB RAM | 256 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4000 mAh Battery8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
61,"realme 14 Pro+ 5G (Pearl White, 256 GB)","₹31,999",4.6,8 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Display50MP + 50MP + 8MP | 32MP Front Camera6000 mAh Battery7s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
62,"OnePlus 13 (Midnight Ocean, 512 GB)","₹72,990",4.4,"16 GB RAM | 512 GB ROM17.32 cm (6.82 inch) Quad HD+ Display50MP + 50MP + 50MP | 32MP Front Camera6000 mAh BatterySnapdragon® 8 Elite Processor1 Year Warranty
1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase"
63,"vivo V40 Pro 5G (Ganges Blue, 512 GB)","₹55,999",5,12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5500 mAh BatteryDimensity 9200+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
64,"OnePlus 11 5G (Titan Black, 256 GB)","₹44,990",4,16 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera | 16MP Front Camera5000 mAh Batterydomestic warranty of 12 months on phone & 6 months on accessories
65,"Apple iPhone 16 (Black, 256 GB)","₹84,900",4.5,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
66,"OPPO Reno13 5G (Ivory White, 256 GB)","₹39,999",5,8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 2MP | 50MP Front Camera5600 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
67,"OnePlus 12R (Iron Gray, 128 GB)","₹34,899",5,8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Brand Warranty
68,"Xiaomi 14 CIVI (Panda White, 512 GB)","₹44,999",4.4,12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
69,"REDMI Note 14 Pro+ 5G (Titan Black, 128 GB)","₹30,999",4,8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display50MP + 50MP + 8MP | 20MP Front Camera6200 mAh Battery7s Gen 3 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
70,"Google Pixel 8a (Porcelain, 128 GB)","₹37,999",5,8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP + 13MP | 13MP Front Camera4404 mAh BatteryTensor G3 Processor1 Year Domestic Warranty
71,"Honor 200 5G (Moonlight White, 256 GB)","₹29,999",4.3,8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Super AMOLED Display50MP + 50MP + 12MP | 50MP Front Camera5200 mAh BatterySnapdragon 7 Gen 3 Processor1 year manufacturer's warranty for handset & 6 months for accessories
72,"POCO F5 5G (Carbon Black, 256 GB)","₹33,999",5,12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display64MP (OIS) + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryQualcomm Snapdragon 7+ Gen 2 (4nm) Processor2 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
73,"SAMSUNG Galaxy A36 5G (Awesome Black, 256 GB)","₹32,999",4,8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 12MP Front Camera5000 mAh BatteryQualcomm Snapdragon 6 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
74,"REDMI Note 14 Pro+ 5G (Spectre Blue, 512 GB)","₹35,999",4.5,12 GB RAM | 512 GB ROM16.94 cm (6.67 inch) Display50MP + 50MP + 8MP | 20MP Front Camera6200 mAh Battery7s Gen 3 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
75,"vivo X80 Pro (Cosmic Black, 256 GB)","₹79,999",5,12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Quad HD Display50MP + 48MP + 12MP + 8MP | 32MP Front Camera4700 mAh Lithium BatteryQualcomm Snapdragon 8 Gen 1 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories
76,"IQOO NEO9 PRO (Fiery Red, 128 GB)","₹33,477",4,8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5160 mAh Battery1 Year
77,"OnePlus 11 5G (Eternal Green, 128 GB)","₹34,874",4.5,8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera | 16MP Front Camera5000 mAh Batterydomestic warranty of 12 months on phone & 6 months on accessories
78,"OPPO Reno13 5G (Luminous Blue, 128 GB)","₹37,999",4.5,8 GB RAM | 128 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 2MP | 50MP Front Camera5600 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
79,"Apple iPhone 16 (Ultramarine, 128 GB)","₹74,900",4.4,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
80,"realme GT 6 (Fluid Silver, 256 GB)","₹33,999",4.5,8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 8MP + 50MP | 32MP Front Camera5500 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
81,"Oukitel WP50 (Black, 256 GB)","₹34,778",4.5,4 GB RAM | 256 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display48MP + 48MP + 0.3MP + 2MP | 8MP + 8MP Dual Front Camera6500 mAh BatteryMediaTek Dimensity 6100+ Processor1 Year Manufacturing Warranty
